ligand_id,status,minimizedAffinity,CNNscore,CNNaffinity,gnina_out_sdf,error
MOL_13120_isomer_0,ok,-5.8031,0.1219289452,5.4194235802,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_5627712_isomer_0,ok,-5.27005,0.1149707362,5.2109351158,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_5833695_isomer_0,ok,-4.85268,0.2709477246,5.3286528587,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_6809867_isomer_0,ok,-3.49847,0.1226641834,5.2602162361,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_12513756_isomer_0_chiral_N_isomer_1,ok,-7.24721,0.1030797586,4.5522403717,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_13118088_isomer_0,ok,-6.42424,0.1062630937,4.9233813286,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_10888322_isomer_0,ok,-4.42158,0.13245897,4.8115444183,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_6810102_isomer_1,ok,-4.46867,0.1507699341,5.5303215981,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_7131609_isomer_2,ok,-5.36747,0.2003019601,5.4955878258,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_13114762_isomer_2,ok,-6.7555,0.1486931443,4.8377690315,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_6807728_isomer_0,ok,-5.28747,0.0660810545,4.9692406654,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_291708_isomer_0_chiral_N_isomer_1,ok,-4.83542,0.1672837138,4.7585310936,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_9587307_isomer_3,ok,-5.1816,0.1269117147,5.1064734459,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_11653998_isomer_0_chiral_N_isomer_75,ok,-6.76832,0.4473026991,5.7517490387,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_9762810_isomer_1,ok,-7.45923,0.109659411,4.7416729927,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_1806990_isomer_1,ok,-5.84902,0.1735353619,5.2392482758,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_10849436_isomer_1,ok,-4.47753,0.19624421,5.565776825,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_10967256_isomer_3,ok,-5.10445,0.0958869085,4.992618084,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_4400570_isomer_1,ok,-5.2305,0.2411811948,5.343984127,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_6982181_isomer_2,ok,-5.18548,0.1711914539,5.5282416344,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_9087564_isomer_3,ok,-4.56532,0.3350975215,5.3350868225,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_6121286_isomer_0,ok,-6.6205,0.1173163727,5.6322937012,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_5122428_isomer_1,ok,-4.65723,0.1356972307,4.6909008026,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_6144705_isomer_1,ok,-5.23623,0.1095591187,4.794485569,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_12114944_isomer_1,ok,-5.37745,0.1389044225,5.2025508881,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_3416867_isomer_0,ok,-5.9367,0.2261579037,5.4169707298,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_10994328_isomer_0,ok,-5.50417,0.1210884675,4.5584778786,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_11500060_isomer_0_chiral_N_isomer_1,ok,-5.20542,0.1646166146,4.8830447197,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_10821970_isomer_1,ok,-5.73776,0.1395899802,4.9616680145,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_10677249_isomer_0,ok,-5.46326,0.1042055935,5.0708479881,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_5432735_isomer_0,ok,-4.67786,0.2491341233,5.3012499809,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_11014841_isomer_0,ok,-5.10623,0.1845597178,5.9218697548,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_6632109_isomer_1,ok,-4.1326,0.1840260178,5.0331950188,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_7064130_isomer_1,ok,-4.78404,0.3109238744,4.8941478729,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
MOL_11651598_isomer_1_chiral_N_isomer_0,ok,-5.02733,0.2135595083,4.6607985497,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/gnina/chunks/chunk_0/gnina_out.sdf,
