ligand_id,source_mol_id,status,input_sdf,canonical_smiles,error
MOL_10953605_isomer_1,MOL_10953605_isomer_1,failed,,,rdkit_embed_failed(-1)
MOL_13120_isomer_0,MOL_13120_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_13120_isomer_0.sdf,O=c1cc(-c2ccc(O)c(-c3c([O-])cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc([O-])cc([O-])c12,
MOL_5627712_isomer_0,MOL_5627712_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_5627712_isomer_0.sdf,O=C1[C@@H]2[C@H]3c4ccccc4[C@H](c4ccccc43)[C@@H]2C(=O)N1C1c2ccccc2Oc2ccccc21,
MOL_5833695_isomer_0,MOL_5833695_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_5833695_isomer_0.sdf,O=C1c2ccccc2-c2cccc3c(-c4ccc5c6c(cccc46)-c4ccccc4C5=O)ccc1c23,
MOL_6809867_isomer_0,MOL_6809867_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_6809867_isomer_0.sdf,CC(=O)c1c2c(c3oc(=O)cc(C)c3c1O)[C@@H](c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)CC(=O)O2,
MOL_12513756_isomer_0_chiral_N_isomer_1,MOL_12513756_isomer_0_chiral_N_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_12513756_isomer_0_chiral_N_isomer_1.sdf,CC1(C)Oc2ccc(C(=O)NS(=O)(=O)c3ccc4c(c3)NC(=O)CO4)cc2[C@@H]2O[C@H](c3ccccc3)CC[C@H]21,
MOL_13118088_isomer_0,MOL_13118088_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_13118088_isomer_0.sdf,O=C1COc2ccc(C(=O)N3CCc4c(cccc4C(=O)N4CCc5c(cnn5-c5ccccc5)C4)C3)cc2N1,
MOL_10888322_isomer_0,MOL_10888322_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_10888322_isomer_0.sdf,Cc1ccc2c(c1C)NC(=O)[C@]21[N@@H+]2CCC[C@H]2[C@@H](C(=O)c2ccc3ccccc3c2)[C@]12C(=O)Nc1ccccc12,
MOL_6810102_isomer_1,MOL_6810102_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_6810102_isomer_1.sdf,O=C1C[C@H](c2ccc3ncccc3c2)c2c(c(O)c([O-])c3c(=O)cc(-c4ccccc4)oc23)O1,
MOL_7131609_isomer_2,MOL_7131609_isomer_2,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_7131609_isomer_2.sdf,O=C1[C@H]2[C@@H](C(=O)N1c1cccc(C(F)(F)F)c1)[C@@]1([NH2+][C@@H]2Cc2ccc(O)cc2)C(=O)Nc2ccc(F)cc21,
MOL_13114762_isomer_2,MOL_13114762_isomer_2,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_13114762_isomer_2.sdf,O=C1CN(C(=O)c2cccc3c2CN(C(=O)[C@H]2CCc4ccccc4[C@@H]2O)CC3)c2ccccc2N1,
MOL_6807728_isomer_0,MOL_6807728_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_6807728_isomer_0.sdf,COc1ccc(-c2cc(=O)c3c([O-])cc4c(c3o2)[C@@H](c2ccc3ncccc3c2)CC(=O)O4)cc1O,
MOL_291708_isomer_0_chiral_N_isomer_1,MOL_291708_isomer_0_chiral_N_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_291708_isomer_0_chiral_N_isomer_1.sdf,Cc1ccc(-c2c(C)nn3c2NC(=O)CCC3=O)cc1S(=O)(=O)Nc1cccc(C(F)(F)F)c1,
MOL_9587307_isomer_3,MOL_9587307_isomer_3,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_9587307_isomer_3.sdf,CC(C)(C)[C@H]1CCc2oc3c(cc([N-]S(=O)(=O)c4ccc5ccccc5c4)c4ccccc43)c2C1,
MOL_11653998_isomer_0_chiral_N_isomer_75,MOL_11653998_isomer_0_chiral_N_isomer_75,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_11653998_isomer_0_chiral_N_isomer_75.sdf,Cc1ccc(S(=O)(=O)N2CCC[C@@H](C(=O)N/N=C/[C@]34CC[C@@H](O)C[C@@]3(O)CC[C@@H]3[C@@H]4CC[C@]4(C)[C@H](C5=CC(=O)OC5)CC[C@@]34O)C2)cc1,
MOL_9762810_isomer_1,MOL_9762810_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_9762810_isomer_1.sdf,O=C(Oc1ccc([C@@H]2Oc3ccccc3[C@H]3CC(c4cccc5ccccc45)=NN32)cc1)c1ccccc1,
MOL_1806990_isomer_1,MOL_1806990_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_1806990_isomer_1.sdf,O=C(CN1C(=O)N[C@]2(CCc3ccccc32)C1=O)Nc1cccc(-c2ccc3ccccc3c2)n1,
MOL_10849436_isomer_1,MOL_10849436_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_10849436_isomer_1.sdf,Cc1cc(N2C(=O)C(=O)/C(=C(\[O-])c3ccc4ccccc4c3)[C@H]2c2ccc(C(C)(C)C)cc2)no1,
MOL_10967256_isomer_3,MOL_10967256_isomer_3,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_10967256_isomer_3.sdf,Cc1c([O-])c(C[N@H+]2CCCC3=C[C@H]4C[C@@H](CN5CCCC[C@H]45)[C@@H]32)cc2c(-c3ccccc3)cc(=O)oc12,
MOL_4400570_isomer_1,MOL_4400570_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_4400570_isomer_1.sdf,O=c1oc2ccccc2c2c1[C@H](c1cccc3ccccc13)Nc1ccc3ccccc3c1-2,
MOL_6982181_isomer_2,MOL_6982181_isomer_2,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_6982181_isomer_2.sdf,Cc1ccc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N(C(=O)C(F)(F)F)[C@@H]3c2ccccc2F)cc1,
MOL_9087564_isomer_3,MOL_9087564_isomer_3,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_9087564_isomer_3.sdf,O=C(C[C@H]1C(=O)NN=C2c3ccccc3N=CN21)N/N=C\c1c2ccccc2cc2ccccc12,
MOL_6121286_isomer_0,MOL_6121286_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_6121286_isomer_0.sdf,O=C1C[C@@H](c2ccc(F)cc2)Cc2nc(/N=c3/nc(-c4ccccc4)c4ccccc4[nH]3)ncc21,
MOL_5122428_isomer_1,MOL_5122428_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_5122428_isomer_1.sdf,O[C@@H]1CCC[C@@]12CCC[N@@H+](Cc1ccc3c(c1)[C@H]1c4ccccc4[C@@H]3c3ccccc31)C2,
MOL_6144705_isomer_1,MOL_6144705_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_6144705_isomer_1.sdf,O=C1[C@@H]2[C@H](Cc3c[nH]c4ccccc34)[NH2+][C@]3(C(=O)Nc4ccc(F)cc43)[C@@H]2C(=O)N1Cc1ccc2c(c1)OCO2,
MOL_12114944_isomer_1,MOL_12114944_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_12114944_isomer_1.sdf,Cc1cc(C)c2[nH]c(=O)c([C@H](c3nnnn3C(C)(C)C)[NH+]3CCN(c4nc5ccccc5s4)CC3)cc2c1,
MOL_6228906_isomer_0_chiral_N_isomer_45,MOL_6228906_isomer_0_chiral_N_isomer_45,failed,,,rdkit_embed_failed(-1)
MOL_3416867_isomer_0,MOL_3416867_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_3416867_isomer_0.sdf,C[NH+]1CCN(S(=O)(=O)c2ccc3c(c2)CCN3C(=O)c2cccc(Nc3ncnc4ccccc34)c2)CC1,
MOL_10994328_isomer_0,MOL_10994328_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_10994328_isomer_0.sdf,c1ccc2c(c1)CCC[C@H]2[N@H+]1CC[C@]2(CC1)Oc1ccccc1[C@@H]1CC(c3ccc4c(c3)OCO4)=NN12,
MOL_11500060_isomer_0_chiral_N_isomer_1,MOL_11500060_isomer_0_chiral_N_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_11500060_isomer_0_chiral_N_isomer_1.sdf,Cc1cc2c(cc1S(=O)(=O)N1CCC[C@@H](C(=O)Nc3cccc4ccccc34)C1)O[C@@H](C)C(=O)N2,
MOL_10821970_isomer_1,MOL_10821970_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_10821970_isomer_1.sdf,O=C(c1cnn2c1N[C@@H](c1ccc3c(c1)OCO3)C[C@H]2C(F)(F)F)N1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,
MOL_10677249_isomer_0,MOL_10677249_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_10677249_isomer_0.sdf,Cc1ccc(C)c(S(=O)(=O)c2nnn3c2nc(Nc2ccc(C)c(C)c2)c2ccccc23)c1,
MOL_5432735_isomer_0,MOL_5432735_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_5432735_isomer_0.sdf,Cc1ccc(C(=O)C2=C([O-])C(=O)N(c3cc(C)on3)[C@@H]2c2ccc(OCc3ccccc3)cc2)cc1,
MOL_11014841_isomer_0,MOL_11014841_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_11014841_isomer_0.sdf,Nc1c(C(=O)Nc2cccc3ccccc23)c2nc3ccccc3nc2n1-c1cccc(C(F)(F)F)c1,
MOL_6632109_isomer_1,MOL_6632109_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_6632109_isomer_1.sdf,[O-]c1c(Cl)cc(Cl)cc1[C@@H]1Oc2ccc(Cl)cc2[C@H]2CC(c3ccc4ccccc4c3)=NN21,
MOL_7064130_isomer_1,MOL_7064130_isomer_1,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_7064130_isomer_1.sdf,O=C(COc1ccc2ccccc2c1)Nc1nc2n(n1)[C@H](c1ccccc1)CC(=O)N2,
MOL_11651598_isomer_1_chiral_N_isomer_0,MOL_11651598_isomer_1_chiral_N_isomer_0,ok,/data/project/hanwen/software/docking-pipeline/dirty-task/unimol_gnina_rescore/input_ligands/MOL_11651598_isomer_1_chiral_N_isomer_0.sdf,Cc1ccc2c(c1)N(S(C)(=O)=O)CC[C@H](C(=O)NCc1ccc3c(c1)OCO3)O2,
